,Title,Published_date,Views,Likes,Comments,Month
0,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,2311,209,7,Oct
1,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,17960,430,30,Oct
2,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,7626,267,21,Sep
3,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,6918,455,5,Sep
4,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,7992,265,17,Sep
5,My Very First Video,2023-09-25,3994,224,22,Sep
6,#DataAnalyst #CareerPath,2023-09-22,6596,551,10,Sep
7,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,32190,738,51,Sep
8,#Excel #DataAnalyst #DataAnalysis,2023-09-18,8272,752,17,Sep
9,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,31534,1185,90,Sep
10,#DataAnalysis #DataAnalyst,2023-09-07,8891,658,13,Sep
11,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,9966,537,26,Sep
12,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,32670,1559,115,Aug
13,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,7229,446,9,Aug
14,#DataAnalyst #DataAnalysis,2023-08-24,13204,905,43,Aug
15,Regular Expression Use Cases in Python,2023-08-22,4218,119,18,Aug
16,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8191,318,25,Aug
17,#DataAnalystSalary #DataAnalysis,2023-08-17,17394,1264,31,Aug
18,How to Work with Recruiters on LinkedIn,2023-08-15,19263,1048,68,Aug
19,#dataanalysis #dataportfolio,2023-08-14,13890,1281,18,Aug
20,#wife #careerchange #dataanalysis,2023-08-11,13439,1230,44,Aug
21,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,5518,636,40,Aug
22,Regular Expression Character Classes in Python,2023-08-08,5489,111,14,Aug
23,#Recruiters #dataanalysis #data,2023-08-03,11937,812,24,Aug
24,Regular Expression Metacharacters in Python,2023-08-01,3681,99,8,Aug
25,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,13647,588,39,Jul
26,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,25476,1787,32,Jul
27,Regular Expression Methods in Python,2023-07-25,4286,158,7,Jul
28,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,16865,791,62,Jul
29,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,73847,1741,106,Jul
30,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,107945,3759,69,Jul
31,Find and Find_All | Web Scraping in Python,2023-07-04,13473,484,12,Jul
32,500k Livestream!!,2023-06-28,6204,387,25,Jun
33,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,23085,667,26,Jun
34,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,18177,600,25,Jun
35,Best Places to Find Datasets for Your Projects,2023-06-13,30261,1349,49,Jun
36,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,39748,1124,68,Jun
37,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,9962,362,21,May
38,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,128437,3337,121,May
39,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,78380,2361,128,May
40,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,47753,1623,49,May
41,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,42299,1287,378,May
42,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,32859,795,84,May
43,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,21616,506,20,May
44,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,24579,670,26,May
45,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,9866,338,27,Apr
46,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,35674,937,51,Apr
47,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,36855,1046,33,Apr
48,Google Business Intelligence Professional Certification Review,2023-04-18,30929,942,61,Apr
49,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,124715,3692,364,Apr
50,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,19383,585,26,Apr
51,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,36363,1699,85,Mar
52,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,16481,450,21,Mar
53,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,89412,3030,181,Mar
54,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,24830,656,37,Mar
55,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11073,399,33,Mar
56,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,40888,883,46,Feb
57,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,25839,654,47,Feb
58,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,419775,8063,227,Feb
59,FREE Data Analyst Bootcamp!!,2023-02-07,567383,22130,1130,Feb
60,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,718499,27404,841,Jan
61,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,16535,607,23,Jan
62,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,30910,1197,108,Jan
63,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,19897,641,44,Jan
64,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,44193,1334,36,Jan
65,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,54582,2713,219,Jan
66,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,34099,781,52,Jan
67,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,5279,183,10,Dec
68,Why I Quit my 125k Analytics Job,2022-12-20,151144,8493,865,Dec
69,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5009,168,16,Dec
70,Converting Data Types in Python | Python for Beginners,2022-12-13,18138,550,22,Dec
71,Functions in Python | Python for Beginners,2022-12-06,22153,674,24,Dec
72,While Loops in Python | Python for Beginners,2022-11-29,19084,652,18,Nov
73,For Loops in Python | Python for Beginners,2022-11-22,22283,630,20,Nov
74,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6222,202,18,Nov
75,If Else Statements in Python | Python for Beginners,2022-11-15,19610,634,22,Nov
76,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,21040,649,14,Nov
77,Data Types in Python | Python for Beginners,2022-11-01,39892,1120,48,Nov
78,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5649,184,11,Oct
79,Variables in Python | Python for Beginners,2022-10-25,43422,1174,42,Oct
80,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5224,246,23,Oct
81,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,130030,2479,94,Oct
82,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,8997,327,20,Oct
83,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,7001,324,31,Oct
84,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,14839,666,83,Oct
85,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6634,214,14,Oct
86,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,209088,4279,266,Sep
87,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,40607,1193,41,Sep
88,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,48454,1929,97,Sep
89,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,37911,1044,30,Sep
90,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,57083,1153,35,Aug
91,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,74930,2038,77,Aug
92,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,6876,246,15,Aug
93,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,21525,553,109,Aug
94,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,71291,1471,53,Aug
95,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,17561,790,72,Aug
96,250k Subscriber Live Stream!!,2022-07-26,4155,158,11,Jul
97,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,72636,1768,86,Jul
98,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,21803,627,126,Jul
99,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,86471,1836,54,Jul
100,Machine Learning Specialization on Coursera | Review,2022-07-05,20129,679,59,Jul
101,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,28455,776,94,Jun
102,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,44738,1646,133,Jun
103,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,123749,2419,61,Jun
104,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,38578,748,67,Jun
105,How to use a Public API | Using a Public API with Python,2022-05-31,20982,842,57,May
106,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,178349,3653,187,May
107,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,101977,2253,257,May
108,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,32736,1667,155,May
109,SQL vs NoSQL | What's the Difference?,2022-05-03,50451,1589,65,May
110,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26,486002,13606,229,Apr
111,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20,11585,324,161,Apr
112,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14,3165,134,11,Apr
113,Things I HATE About Being a Data Analyst,2022-04-12,33033,1402,194,Apr
114,Best Website to Practice Technical Interview Questions,2022-04-05,17112,635,55,Apr
115,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29,6896,272,162,Mar
116,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22,457921,10691,723,Mar
117,Top 5 Non-Technical Skills for Data Analysts,2022-03-15,20788,790,74,Mar
118,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01,309346,7085,236,Mar
119,Tableau Data Analyst Certification Review,2022-02-22,53311,1396,123,Feb
120,Job Title Alternatives for Data Analysts,2022-02-15,25753,1012,93,Feb
121,Best Coursera Courses for Data Analysts in 2022,2022-02-08,102049,5294,208,Feb
122,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01,20260,718,61,Feb
123,Charts in Excel | Excel Tutorials for Beginners,2022-01-25,67547,1909,43,Jan
124,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18,22390,849,357,Jan
125,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11,92206,2228,83,Jan
126,150k Subscriber Livestream!!,2022-01-10,3472,161,7,Jan
127,How To Become A Data Analyst In 2022,2022-01-04,495662,22216,642,Jan
128,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,110339,2684,118,Dec
129,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,178690,4494,275,Dec
130,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,366780,7896,254,Dec
131,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07,169245,3706,295,Dec
132,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23,76137,2335,52,Nov
133,Top 5 Major Red Flags in Job Descriptions,2021-11-18,17620,944,72,Nov
134,Truth About My Job (Song) - As a Data Analyst,2021-11-08,10161,867,105,Nov
135,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,10966,337,35,Oct
136,Choosing a Domain to Make More Money,2021-10-19,17689,891,81,Oct
137,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,104047,2587,138,Oct
138,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,129545,3138,74,Sep
139,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,436682,10922,303,Sep
140,How NOT to Become a Data Analyst (Funny?),2021-09-07,17103,709,114,Sep
141,100k Subscriber Play Button Unboxing,2021-08-31,2625,241,96,Aug
142,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,187430,4673,500,Aug
143,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,83380,2266,158,Aug
144,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4727,191,26,Aug
145,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,142801,4443,505,Aug
146,When To Start Applying To Your First Data Analyst Job,2021-07-21,62184,3545,220,Jul
147,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,129550,5626,364,Jul
148,How to Create a Portfolio Website for FREE,2021-06-29,351016,9049,602,Jun
149,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,129888,2474,406,Jun
150,How To Get a Data Analyst Job (with No Experience),2021-06-08,436924,19301,593,Jun
151,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6225,241,107,Jun
152,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,28350,817,86,Jun
153,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,300400,6271,720,May
154,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,303242,5106,426,May
155,Asking My Family What I Do For a Living,2021-05-11,3681,195,56,May
156,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1467616,27954,3317,May
157,Advanced SQL Tutorial | Subqueries,2021-04-20,251282,6021,182,Apr
158,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,21923,821,149,Apr
159,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,297492,10870,576,Apr
160,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,23863,869,84,Apr
161,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,155503,3618,296,Mar
162,Best Machine Learning Courses on Coursera,2021-03-23,44897,1481,78,Mar
163,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,16080,475,122,Mar
164,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,264373,5249,147,Mar
165,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,348889,10933,1167,Mar
166,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51627,2387,328,Mar
167,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,20556,524,77,Mar
168,Best Course to Learn Statistics for Data Analysis,2021-02-25,76618,2239,85,Feb
169,DataQuest Review | Is it Worth it?,2021-02-23,20920,386,45,Feb
170,R vs Python | Which is Better for Data Analysis?,2021-02-16,199279,4591,376,Feb
171,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,115297,3144,121,Feb
172,Advanced SQL Tutorial | Temp Tables,2021-02-02,171766,4133,113,Feb
173,IBM Data Analyst Certificate Study Session,2021-01-30,5130,175,22,Jan
174,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,100648,2726,291,Jan
175,DataCamp Review | Is it Worth it?,2021-01-21,141247,3148,248,Jan
176,Best Python Course for Data Analysts,2021-01-19,44978,1283,112,Jan
177,Top 5 Data Analyst Skills,2021-01-12,23855,1153,167,Jan
178,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,14242,470,147,Jan
179,Top 5 Data Analyst Interview Mistakes,2021-01-05,50911,1430,62,Jan
180,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1543,140,101,Dec
181,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,40141,1168,139,Dec
182,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,10024,222,32,Dec
183,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,44285,1489,207,Dec
184,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,72317,2481,137,Dec
185,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2565,93,54,Dec
186,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,230329,3966,158,Dec
187,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,22554,736,194,Dec
188,Intermediate SQL Tutorial | Partition By,2020-12-01,177214,4639,171,Dec
189,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4778,131,18,Nov
190,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,23870,864,160,Nov
191,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14150,561,204,Nov
192,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,211298,8492,201,Nov
193,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3692,119,80,Nov
194,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,22722,606,64,Nov
195,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,11897,351,115,Nov
196,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,74363,3552,275,Nov
197,Data Analyst Q&A LIVE #4,2020-10-30,3411,105,25,Oct
198,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,13356,549,223,Oct
199,Top 10 Udemy Courses for Data Analysts,2020-10-22,136898,4280,275,Oct
200,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,175693,6173,990,Oct
201,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4489,171,72,Oct
202,Top 10 Coursera Courses for Data Analysts,2020-10-13,100413,4526,279,Oct
203,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,7012,355,178,Oct
204,Data Analyst Expectations vs Reality,2020-10-06,75074,2801,187,Oct
205,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7096,255,164,Oct
206,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,44154,1476,714,Sep
207,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14358,604,82,Sep
208,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,411968,12111,3807,Sep
209,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,43742,1321,74,Sep
210,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,19055,659,83,Sep
211,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,11235,201,117,Sep
212,Live Data Analyst Q&A #3,2020-08-29,2763,101,43,Aug
213,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,128487,4646,273,Aug
214,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,911390,19645,1053,Aug
215,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,31715,550,91,Aug
216,What Does a Data Analyst Actually Do?,2020-07-29,826683,16572,448,Jul
217,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,4087,164,67,Jul
218,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,52158,1355,157,Jul
219,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,724782,18710,570,Jul
220,Best Free Online Courses for Data Analysts,2020-06-23,55777,2730,94,Jun
221,Best Online Courses for Data Analysts,2020-06-17,176604,9205,414,Jun
222,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,745921,23446,848,Jun
223,Intermediate SQL Tutorial | Aliasing,2020-06-04,94030,2825,76,Jun
224,Data Analyst Q&A LIVE,2020-05-31,9081,244,54,May
225,Data Analyst Interviews | Salary Negotiation,2020-05-27,23390,743,25,May
226,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,62965,1542,33,May
227,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,106457,2877,102,May
228,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,72070,1488,65,May
229,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,14923,519,51,Apr
230,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,96420,2434,114,Apr
231,Intermediate SQL Tutorial | Having Clause,2020-04-09,112844,3296,63,Apr
232,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,199750,5277,339,Apr
233,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,170949,3684,136,Mar
234,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,345879,6376,352,Mar
235,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,123639,2540,269,Mar
236,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,215265,6021,209,Mar
237,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,226177,4411,118,Mar
238,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,330059,5312,227,Mar
239,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,970262,13796,1565,Mar
240,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25304,845,162,Feb
241,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,23440,510,39,Feb
242,Data Analyst Salary in 2020,2020-02-19,7949,154,25,Feb
243,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,12759,567,39,Feb
244,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,47929,1756,247,Feb
245,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,111599,3305,98,Feb
246,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,64607,1555,64,Jan
247,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,14229,393,20,Jan
248,Data Analyst Salary | 100k with No Experience,2020-01-23,61297,2127,226,Jan
249,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,7827,295,18,Jan
250,Top 3 Data Analyst Skills in 2020,2020-01-17,27368,1347,138,Jan
